entry_id,jlpt_level,surface,reading,tier,common,freq_rank,match,misc_tags,collision,gloss
1000050,5,"仝","どう",B-review,false,,kana-expr,"",0,"""as above"" mark"
1000225,1,"明白","あからさま",A-remove,false,,kanji,"uk",1,"plain; frank; candid"
1000260,1,"悪どい","あくどい",B-review,false,,kana-expr,"uk",0,"gaudy; showy; garish | crooked; vicious; wicked"
1000750,1,"いざ","いざ",B-review,false,,kana-expr,"",0,"now; come (now); well"
1000910,1,"嫌に","いやに",B-review,false,,kana-expr,"uk",0,"awfully; terribly"
1001180,4,"お出でになる","おいでになる",B-review,false,,kana-expr,"hon/uk",0,"to be | to come"
1001330,1,"おっかない","おっかない",B-review,false,,kana-expr,"col/arch",0,"frightening; scary | extreme; exaggerated; huge"
1001640,4,"お陰","おかげ",B-review,false,,kanji,"uk",0,"grace (of God); benevolence (of Buddha); blessing | assistance; help; aid"
1001790,1,"お宮","おみや",B-review,false,,kanji,"",0,"Shinto shrine"
1001810,1,"お供","おとも",B-review,false,,kanji,"",0,"attendant; companion"
1001870,4,"お見舞い","おみまい",B-review,false,,kanji,"",0,"visit (to someone affected by illness or misfortune); call; inquiry (about someone's health) | letter of inquiry; letter"
1001900,2,"お構いなく","おかまいなく",B-review,false,,kana-expr,"pol",0,"please don't fuss over me; don't go to any trouble; don't bother"
1002000,4,"お子さん","おこさん",B-review,false,,kanji,"hon",0,"child"
1002360,2,"お待ちどおさま","おまちどおさま",B-review,false,,kana-expr,"",0,"I'm sorry to have kept you waiting"
1003010,3,"絡繰り","からくり",A-remove,false,,kanji,"uk/abbr",1,"mechanism; machinery; contrivance | trick; dodge"
1003410,1,"きっかり","きっかり",B-review,false,,kana-expr,"on-mim",0,"exactly; just; precisely | punctually; exactly on time"
1003560,5,"刻々","ギザギザ",C-collision-but-established,true,,kanji,"on-mim/uk",1,"notches; serration; indentation | notched; serrated; jagged"
1004080,1,"ぐっと","ぐっと",B-review,false,,kana-expr,"on-mim",0,"suddenly; at once; in one go | considerably; very much; a lot"
1004250,1,"げっそり","げっそり",B-review,false,,kana-expr,"on-mim",0,"to be disheartened; to be dejected; to be discouraged | suddenly (losing a lot of weight); looking emaciated; becoming v"
1004510,2,"こちらこそ","こちらこそ",B-review,false,,kana-expr,"",0,"it is I who should say so"
1004610,2,"此間","こないだ",B-review,false,,kana-expr,"uk",0,"the other day; lately; recently"
1005580,3,"屡々","しばしば",C-collision-but-established,true,,kanji,"uk/on-mim",1,"often; again and again; frequently"
1005590,1,"しぶとい","しぶとい",B-review,false,,kana-expr,"",0,"tenacious; tough; enduring"
1005670,2,"しゃぶる","しゃぶる",B-review,false,,kana-expr,"",0,"to suck; to lick"
1006180,1,"すばしっこい","すばしっこい",B-review,false,,kana-expr,"",0,"quick; nimble; agile | sharp; shrewd; smart"
1006320,1,"すんなり","すんなり",B-review,false,,kana-expr,"on-mim",0,"slim; slender; lithe | smoothly; without resistance; without trouble"
1006410,1,"ずぶ濡れ","ずぶぬれ",B-review,false,,kana-expr,"",0,"dripping wet; soaked; drenched"
1006430,1,"ずらっと","ずらっと",B-review,false,,kana-expr,"on-mim",0,"in a line; in a row"
1006720,1,"其処ら","そこら",B-review,false,,kana-expr,"uk",0,"around there; that area | that; that matter; that point"
1006850,2,"その為","そのため",B-review,false,,kana-expr,"uk",0,"hence; for that reason"
1007340,1,"丈","だけ",C-collision-but-established,true,,kanji,"uk",1,"only; just; merely | as much as; to the extent of; enough to"
1007620,1,"ちやほや","ちやほや",B-review,false,,kana-expr,"on-mim",0,"to make a fuss over; to pamper; to spoil"
1007860,4,"点","ちょぼ",A-remove,false,,kanji,"uk",1,"dot; point; mark | gidayū musicians"
1007870,2,"点々","ちょぼちょぼ",B-review,false,,kanji,"uk",0,"sparsely; drop-by-drop | on par with; as good as"
1008320,1,"てんで","てんで",B-review,false,,kana-expr,"",0,"(not) at all; completely; utterly | very; extremely"
1008360,3,"刑事","でか",A-remove,false,,kanji,"sl",1,"(police) detective"
1008960,3,"どうぞ宜しく","どうぞよろしく",B-review,false,,kana-expr,"uk",0,"pleased to meet you; how do you do | my regards (to someone); my greetings; best wishes"
1009280,2,"響めき","どよめき",A-remove,false,,kanji,"uk",1,"commotion; stir"
1009570,1,"和やか","にこやか",C-collision-but-established,true,,kanji,"uk",1,"smiling; beaming; radiant"
1009890,1,"ねじ回し","ねじまわし",B-review,false,,kana-expr,"",0,"screwdriver"
1010090,2,"はきはき","はきはき",B-review,false,,kana-expr,"on-mim",0,"briskly; smartly; promptly"
1010470,1,"延いては","ひいては",B-review,false,,kana-expr,"uk",0,"by extension; in turn; by the same token"
1010640,1,"ひょっと","ひょっと",B-review,false,,kana-expr,"on-mim",0,"possibly; perhaps; perchance | unintentionally; accidentally"
1010790,1,"ビリ","ビリ",B-review,false,,kana-expr,"",0,"last (on the list); (at the) bottom; (in) last position"
1011100,1,"ふんだん","ふんだん",B-review,false,,kana-expr,"",0,"plentiful; abundant; ample"
1011840,1,"ぼつぼつ","ぼつぼつ",B-review,false,,kana-expr,"on-mim",0,"gradually; little by little; in a breezy manner | soon; before long"
1011850,1,"ぼやく","ぼやく",B-review,false,,kana-expr,"",0,"to grumble; to complain"
1012100,1,"間誤付く","まごつく",B-review,false,,kana-expr,"col",0,"to be confused; to be flustered; to be at a loss | to loiter; to hang around; to wander around"
1012710,1,"諸に","もろに",B-review,false,,kana-expr,"uk",0,"completely; all the way; altogether"
1012770,1,"やけに","やけに",B-review,false,,kana-expr,"col",0,"awfully; frightfully; desperately"
1013030,1,"縁","ゆかり",A-remove,false,,kanji,"uk",1,"connection (to a person, place, etc.); relation; affinity"
1013290,3,"碌","ろく",A-remove,false,,kanji,"uk",1,"satisfactory; decent; good"
1022840,1,"インターチェンジ","インターチェンジ",B-review,false,,kana-expr,"",0,"interchange; service interchange"
1022990,1,"インターホン","インターホン",B-review,false,,kana-expr,"",0,"intercom"
1046810,2,"瓦","グラム",C-collision-but-established,true,,kanji,"uk",1,"gram; gramme"
1078810,5,"テープレコーダー","テープレコーダー",B-review,false,,kana-expr,"",0,"tape recorder"
1088480,1,"ドライクリーニング","ドライクリーニング",B-review,false,,kana-expr,"",0,"dry cleaning"
1088590,1,"ドライブイン","ドライブイン",B-review,false,,kana-expr,"",0,"drive-in (bank, cinema, etc.) | roadside restaurant; rest stop"
1104550,3,"麦酒","ばくしゅ",B-review,false,,kana-expr,"",0,"beer"
1126770,1,"マイクロフォン","マイクロフォン",B-review,false,,kana-expr,"",0,"microphone"
1135150,1,"モーテル","モーテル",B-review,false,,kana-expr,"",0,"motel | drive-in love hotel"
1136480,2,"や行","やぎょう",A-remove,false,,kanji,"",1,"the ""ya"" column of the Japanese syllabary table (ya, yu, yo)"
1147330,3,"露","ろ",A-remove,false,,kanji,"abbr",1,"Russia"
1149990,4,"唖","おし",B-review,false,,kana-expr,"sens",0,"muteness; speech impairment | mute; deaf-mute"
1151240,3,"悪","わる",A-remove,false,,kanji,"",1,"wicked person; evil person; scoundrel | bad child; naughty child; brat"
1151260,5,"悪い","わるい",C-collision-but-established,true,48,kanji,"",1,"bad; poor; undesirable | poor (quality); inferior; insufficient"
1153480,3,"宛てる","あてる",B-review,false,,kanji,"",0,"to address"
1154770,3,"案","あん",C-collision-but-established,true,,kanji,"arch",1,"idea; plan; proposal | draft; rough copy"
1157640,1,"異見","いけん",B-review,false,,kanji,"obs",0,"different opinion; different view; dissenting view | scolding; reprimand; rebuke"
1158680,1,"萎びる","しなびる",B-review,false,,kanji,"uk",0,"to shrivel (e.g. cut vegetables, skin); to wilt; to fade"
1158890,1,"違える","ちがえる",B-review,false,,kanji,"",0,"to change; to alter | to mistake; to make a mistake"
1160790,5,"一","いち",C-collision-but-established,true,33,kanji,"",1,"one; 1 | best"
1162130,5,"一月","ひとつき",C-collision-but-established,true,,kanji,"",1,"one month"
1162570,1,"一頃","ひところ",B-review,false,,kanji,"uk",0,"once; some time ago"
